,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,13448494,,,...,,...,35151728,,,...,,...
"Population and dwellings","Population; 2011",1,12851821,,,...,,...,33476688,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.6,,,...,,...,      5.0,,,...,,...
"Population and dwellings","Total private dwellings",2, 5598391,,,...,,...,15412443,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3, 5169174,,,...,,...,14072079,,,...,,...
"Population and dwellings","Population density per square kilometre",,   14.8,,,...,,...,    3.9,,,...,,...
"Population and dwellings","Land area in square kilometres",, 908699.33,,,...,,...,8965588.85,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,13448495,, 6559390,, 6889105,,35151730,,17264200,,17887530,
"Age characteristics","  0 to 14 years",, 2207970,, 1131615,, 1076350,, 5839565,, 2992920,, 2846645,
"Age characteristics","    0 to 4 years",,  697360,,  357300,,  340055,, 1898790,,  973030,,  925760,
"Age characteristics","    5 to 9 years",,  756085,,  387320,,  368765,, 2018130,, 1034685,,  983445,
"Age characteristics","    10 to 14 years",,  754530,,  387000,,  367530,, 1922645,,  985200,,  937445,
"Age characteristics","  15 to 64 years",, 8988865,, 4412115,, 4576750,,23376530,,11576130,,11800400,
"Age characteristics","    15 to 19 years",,  811670,,  416730,,  394945,, 2026160,, 1039215,,  986940,
"Age characteristics","    20 to 24 years",,  894390,,  457815,,  436570,, 2242690,, 1144495,, 1098200,
"Age characteristics","    25 to 29 years",,  874350,,  436345,,  438010,, 2285990,, 1144470,, 1141515,
"Age characteristics","    30 to 34 years",,  864765,,  420800,,  443965,, 2329395,, 1148290,, 1181110,
"Age characteristics","    35 to 39 years",,  842485,,  402900,,  439585,, 2288365,, 1118635,, 1169730,
"Age characteristics","    40 to 44 years",,  871875,,  418465,,  453415,, 2255135,, 1104440,, 1150695,
"Age characteristics","    45 to 49 years",,  937385,,  453105,,  484275,, 2359965,, 1157760,, 1202210,
"Age characteristics","    50 to 54 years",, 1056345,,  517170,,  539175,, 2678075,, 1318755,, 1359320,
"Age characteristics","    55 to 59 years",,  989460,,  482280,,  507180,, 2620240,, 1285190,, 1335055,
"Age characteristics","    60 to 64 years",,  846145,,  406505,,  439640,, 2290510,, 1114885,, 1175630,
"Age characteristics","  65 years and over",, 2251655,, 1015655,, 1236000,, 5935630,, 2695150,, 3240485,
"Age characteristics","    65 to 69 years",,  737745,,  352475,,  385270,, 1972480,,  953075,, 1019405,
"Age characteristics","    70 to 74 years",,  528645,,  250455,,  278185,, 1420875,,  677975,,  742900,
"Age characteristics","    75 to 79 years",,  393010,,  179810,,  213195,, 1021850,,  469550,,  552300,
"Age characteristics","    80 to 84 years",,  291185,,  126825,,  164360,,  749650,,  325765,,  423880,
"Age characteristics","    85 years and over",,  301075,,  106090,,  194985,,  770780,,  268790,,  501990,
"Age characteristics","      85 to 89 years",,  188470,,   73045,,  115425,,  482525,,  185535,,  296990,
"Age characteristics","      90 to 94 years",,   88390,,   27400,,   60990,,  223510,,   68675,,  154835,
"Age characteristics","      95 to 99 years",,   21210,,    5150,,   16060,,   56525,,   13240,,   43280,
"Age characteristics","      100 years and over",,    3005,,     495,,    2520,,    8230,,    1340,,    6890,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   16.4,,   17.3,,   15.6,,   16.6,,   17.3,,   15.9,
"Age characteristics","  15 to 64 years",,   66.8,,   67.3,,   66.4,,   66.5,,   67.1,,   66.0,
"Age characteristics","  65 years and over",,   16.7,,   15.5,,   17.9,,   16.9,,   15.6,,   18.1,
"Age characteristics","    85 years and over",,    2.2,,    1.6,,    2.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   41.0,,   40.0,,   41.9,,   41.0,,   40.1,,   41.9,
"Age characteristics","Median age of the population",,   41.3,,   40.2,,   42.4,,   41.2,,   40.2,,   42.2,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5, 5169175,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  Single-detached house",, 2807380,,,...,,..., 7541495,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  886705,,,...,,..., 1391040,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6, 1460200,,,...,,..., 4949795,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,  289975,,,...,,...,  698800,,,...,,...
"Household and dwelling characteristics","    Row house",,  460425,,,...,,...,  891305,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,  176080,,,...,,...,  784300,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,  522810,,,...,,..., 2539390,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,   10910,,,...,,...,   36005,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,   14890,,,...,,...,  189755,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8, 5169170,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  1 person",, 1341300,,,...,,..., 3969790,,,...,,...
"Household and dwelling characteristics","  2 persons",, 1693525,,,...,,..., 4834605,,,...,,...
"Household and dwelling characteristics","  3 persons",,  834260,,,...,,..., 2140640,,,...,,...
"Household and dwelling characteristics","  4 persons",,  796320,,,...,,..., 1946275,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,  503775,,,...,,..., 1180770,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,13242160,,,...,,...,34460060,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.6,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,11240525,, 5427775,, 5812750,,29312160,,14271280,,15040885,
"Marital status","  Married or living common law",, 6438085,, 3219290,, 3218795,,16893720,, 8452135,, 8441585,
"Marital status","    Married",, 5531930,, 2764275,, 2767655,,13383455,, 6693465,, 6689990,
"Marital status","    Living common law",,  906155,,  455015,,  451145,, 3510265,, 1758670,, 1751590,
"Marital status","  Not married and not living common law",, 4802440,, 2208485,, 2593955,,12418440,, 5819140,, 6599300,
"Marital status","    Never married",, 3182785,, 1689180,, 1493605,, 8254340,, 4444425,, 3809915,
"Marital status","    Separated",,  328675,,  138140,,  190535,,  718295,,  309905,,  408400,
"Marital status","    Divorced",,  653835,,  252900,,  400935,, 1816005,,  725535,, 1090470,
"Marital status","    Widowed",,  637150,,  128265,,  508880,, 1629800,,  339280,, 1290525,
"Family characteristics","Total - Census families in private households by family size - 100% data",10, 3782540,,,...,,..., 9840730,,,...,,...
"Family characteristics","  2 persons",, 1815000,,,...,,..., 5007790,,,...,,...
"Family characteristics","  3 persons",,  844545,,,...,,..., 2107830,,,...,,...
"Family characteristics","  4 persons",,  792435,,,...,,..., 1909935,,,...,,...
"Family characteristics","  5 or more persons",,  330560,,,...,,...,  815170,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11, 3782545,,,...,,..., 9840730,,,...,,...
"Family characteristics","  Total couple families",, 3137570,,,...,,..., 8227925,,,...,,...
"Family characteristics","    Married couples",, 2684735,,,...,,..., 6474005,,,...,,...
"Family characteristics","    Common-law couples",,  452840,,,...,,..., 1753920,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,  644975,,,...,,..., 1612805,,,...,,...
"Family characteristics","    Female parent",,  518480,,,...,,..., 1262340,,,...,,...
"Family characteristics","    Male parent",,  126495,,,...,,...,  350465,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",, 3137565,,,...,,..., 8227925,,,...,,...
"Family characteristics","  Couples without children",, 1428575,,,...,,..., 4024305,,,...,,...
"Family characteristics","  Couples with children",, 1708995,,,...,,..., 4203615,,,...,,...
"Family characteristics","    1 child",,  658305,,,...,,..., 1650165,,,...,,...
"Family characteristics","    2 children",,  738710,,,...,,..., 1783080,,,...,,...
"Family characteristics","    3 or more children",,  311975,,,...,,...,  770375,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,  644975,,,...,,..., 1612805,,,...,,...
"Family characteristics","  1 child",,  386425,,,...,,...,  983485,,,...,,...
"Family characteristics","  2 children",,  186240,,,...,,...,  457670,,,...,,...
"Family characteristics","  3 or more children",,   72310,,,...,,...,  171655,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",, 2139825,,  990525,, 1149300,, 6107260,, 2941395,, 3165865,
"Household type","Total - Private households by household type - 100% data",12, 5169175,,,...,,...,14072075,,,...,,...
"Household type","  One-census-family households",, 3481885,,,...,,..., 9218225,,,...,,...
"Household type","    Without children in a census family",13, 1311575,,,...,,..., 3782095,,,...,,...
"Household type","    With children in a census family",14, 2170315,,,...,,..., 5436135,,,...,,...
"Household type","  Multiple-census-family households",,  145615,,,...,,...,  301715,,,...,,...
"Household type","  Non-census-family households",, 1541665,,,...,,..., 4552135,,,...,,...
"Household type","    One-person households",, 1341305,,,...,,..., 3969790,,,...,,...
"Household type","    Two-or-more person non-census-family households",,  200365,,,...,,...,  582350,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,13312865,, 6503875,, 6808990,,34767255,,17101170,,17666080,
"Knowledge of official languages","  English only",,11455500,, 5689830,, 5765665,,23757525,,11838075,,11919455,
"Knowledge of official languages","  French only",,   40040,,   17340,,   22705,, 4144685,, 1925845,, 2218840,
"Knowledge of official languages","  English and French",, 1490390,,  665850,,  824540,, 6216065,, 3071325,, 3144740,
"Knowledge of official languages","  Neither English nor French",,  326935,,  130850,,  196085,,  648970,,  265920,,  383045,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,13312865,, 6503880,, 6808995,,34767250,,17101165,,17666085,
"First official language spoken","  English",,12394325,, 6095970,, 6298355,,26007500,,12852330,,13155165,
"First official language spoken","  French",,  504130,,  236875,,  267250,, 7705755,, 3780105,, 3925650,
"First official language spoken","  English and French",,   92940,,   42910,,   50030,,  417485,,  209130,,  208355,
"First official language spoken","  Neither English nor French",,  321480,,  128125,,  193355,,  636515,,  259600,,  376910,
"First official language spoken","Official language minority (number)",17,  550600,,  258330,,  292270,, 7914495,, 3884670,, 4029825,
"First official language spoken","Official language minority (percentage)",17,    4.1,,    4.0,,    4.3,,   22.8,,   22.7,,   22.8,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,13312870,, 6503875,, 6808990,,34767255,,17101170,,17666085,
"Mother tongue","  Single responses",,12946960,, 6327630,, 6619330,,33948620,,16702840,,17245775,
"Mother tongue","    Official languages",, 9393040,, 4637520,, 4755520,,26627555,,13201620,,13425940,
"Mother tongue","      English",, 8902320,, 4406210,, 4496110,,19460850,, 9680125,, 9780725,
"Mother tongue","      French",,  490715,,  231310,,  259410,, 7166705,, 3521495,, 3645215,
"Mother tongue","    Non-official languages",, 3553920,, 1690110,, 1863810,, 7321065,, 3501220,, 3819840,
"Mother tongue","      Aboriginal languages",,   22765,,   10815,,   11950,,  195700,,   94795,,  100900,
"Mother tongue","        Algonquian languages",,   21235,,   10175,,   11060,,  130450,,   62930,,   67520,
"Mother tongue","          Blackfoot",,      10,,       5,,       5,,    2815,,    1325,,    1490,
"Mother tongue","          Cree-Montagnais languages",,    5080,,    2485,,    2595,,   88445,,   42920,,   45530,
"Mother tongue","            Atikamekw",,       5,,       0,,       0,,    6150,,    3135,,    3015,
"Mother tongue","            Montagnais (Innu)",,       5,,       5,,       5,,   10230,,    4885,,    5350,
"Mother tongue","            Moose Cree",,      85,,      40,,      45,,     100,,      50,,      55,
"Mother tongue","            Naskapi",,      10,,       5,,       5,,    1205,,     590,,     620,
"Mother tongue","            Northern East Cree",,      55,,      25,,      30,,     315,,     125,,     190,
"Mother tongue","            Plains Cree",,      35,,       5,,      30,,    3065,,    1360,,    1710,
"Mother tongue","            Southern East Cree",,       5,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","            Swampy Cree",,     355,,     135,,     225,,    1440,,     585,,     850,
"Mother tongue","            Woods Cree",,      15,,      10,,       5,,    1840,,     865,,     975,
"Mother tongue","            Cree; n.o.s.",,    4500,,    2255,,    2245,,   64050,,   31305,,   32745,
"Mother tongue","          Eastern Algonquian languages",,      90,,      40,,      50,,    6990,,    3310,,    3680,
"Mother tongue","            Malecite",,      10,,       5,,       0,,     305,,     140,,     160,
"Mother tongue","            Mi'kmaq",,      85,,      35,,      50,,    6690,,    3170,,    3520,
"Mother tongue","          Ojibway-Potawatomi languages",,   16025,,    7620,,    8400,,   32150,,   15350,,   16800,
"Mother tongue","            Algonquin",,      65,,      30,,      35,,    1260,,     590,,     670,
"Mother tongue","            Ojibway",,    9505,,    4515,,    4985,,   17890,,    8440,,    9450,
"Mother tongue","            Oji-Cree",,    6310,,    3015,,    3300,,   12855,,    6260,,    6595,
"Mother tongue","            Ottawa (Odawa)",,     145,,      65,,      80,,     150,,      65,,      85,
"Mother tongue","          Algonquian languages; n.i.e.",,      30,,      20,,      10,,      45,,      25,,      20,
"Mother tongue","        Athabaskan languages",,      60,,      20,,      40,,   17365,,    8325,,    9045,
"Mother tongue","          Northern Athabaskan languages",,      55,,      20,,      35,,   17315,,    8310,,    9010,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      60,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     190,,      85,,     105,
"Mother tongue","            Carrier",,       5,,       0,,       5,,    1025,,     465,,     565,
"Mother tongue","            Chilcotin",,       5,,       0,,       5,,     660,,     295,,     360,
"Mother tongue","            Dene",,      20,,      10,,      10,,   10700,,    5185,,    5515,
"Mother tongue","            Dogrib (Tlicho)",,       5,,       5,,       5,,    1645,,     840,,     815,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,     260,,     110,,     145,
"Mother tongue","            Sarsi (Sarcee)",,      10,,       0,,       5,,      80,,      25,,      50,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      90,,      45,,      45,
"Mother tongue","            Slavey-Hare languages",,       5,,       5,,       0,,    1995,,     950,,    1045,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,     765,,     365,,     400,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,     945,,     455,,     495,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       5,,     280,,     130,,     150,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     270,,     135,,     140,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,     180,,      90,,      90,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      95,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       5,,     290,,     120,,     170,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,     215,,      90,,     135,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","          Athabaskan languages; n.i.e.",,       5,,       0,,       5,,      50,,      20,,      35,
"Mother tongue","        Haida",,       0,,       5,,       0,,      75,,      35,,      40,
"Mother tongue","        Inuit languages",,     475,,     165,,     305,,   36545,,   18100,,   18445,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       5,,       5,,       5,,    1025,,     445,,     575,
"Mother tongue","          Inuktitut",,     425,,     145,,     280,,   35215,,   17530,,   17680,
"Mother tongue","          Inuit languages; n.i.e.",,      45,,      20,,      25,,     315,,     125,,     185,
"Mother tongue","        Iroquoian languages",,     710,,     300,,     410,,    1115,,     485,,     635,
"Mother tongue","          Cayuga",,      40,,      20,,      20,,      45,,      20,,      20,
"Mother tongue","          Mohawk",,     590,,     255,,     335,,     980,,     430,,     555,
"Mother tongue","          Oneida",,      55,,      15,,      40,,      55,,      20,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,      20,,       5,,      15,,      35,,      15,,      20,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     105,,      55,,      55,
"Mother tongue","        Michif",,      25,,      15,,      15,,     465,,     230,,     235,
"Mother tongue","        Salish languages",,       5,,       0,,       5,,    2305,,    1130,,    1180,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     225,,     245,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,     315,,     155,,     155,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       5,,       0,,       0,,     445,,     225,,     220,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,     335,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     255,,     135,,     125,
"Mother tongue","        Siouan languages",,      10,,       5,,       5,,    4285,,    2070,,    2220,
"Mother tongue","          Dakota",,       5,,       5,,       5,,    1215,,     570,,     635,
"Mother tongue","          Stoney",,       0,,       0,,       0,,    3025,,    1465,,    1555,
"Mother tongue","          Siouan languages; n.i.e.",,      10,,       5,,       5,,      55,,      30,,      25,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","        Tsimshian languages",,       5,,       5,,       0,,    1480,,     730,,     755,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       5,,     880,,     435,,     445,
"Mother tongue","          Nisga'a",,       5,,       0,,       0,,     400,,     200,,     200,
"Mother tongue","          Tsimshian",,       0,,       5,,       0,,     200,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       5,,     805,,     370,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     325,,     145,,     185,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       5,,       5,,       0,,     285,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,     235,,     130,,     105,,     585,,     295,,     295,
